CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3286218.914000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3301224.514000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3316230.114000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3331235.714000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3346241.314000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3361246.914000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 330 us | synced: 3376252.514000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 330 us | synced: 3391258.114000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 330 us | synced: 3406263.714000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3421269.314000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3436274.914000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3451280.514000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3466286.114000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3481291.714000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3496297.314000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3511302.914000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3526308.514000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3541314.114000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3556319.714000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 329 us | synced: 3571325.314000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 3586330.914000 ms
child: experiment complete (240 cycles)
